No,First Name,Other Names,Full Name,DOB,Day of Birth,Month of Birth,Year of Birth,Age,Position,Nationality,International Caps,International Goals,Club,League,Club Country
763,Bernardo,Silva,"Silva, Bernardo",10-Aug-94,10,August,1994,28,FW,Portugal,73,8,Manchester City,English Premier League,England
764,Joao,Felix,"Felix, Joao",10-Nov-99,10,November,1999,23,FW,Portugal,24,3,Atlético Madrid,Spain Primera Division,Spain
765,Jose,Sa,"Sa, Jose",17-Jan-93,17,January,1993,29,GK,Portugal,0,0,Wolverhampton Wanderers,English Premier League,England
766,Danilo,Pereira,"Pereira, Danilo",9-Sep-91,9,September,1991,31,DF,Portugal,63,2,Paris Saint-Germain,French Ligue 1,France
767,William,Carvalho,"Carvalho, William",7-Apr-92,7,April,1992,30,MF,Portugal,76,5,Real Betis,Spain Premeir League,Spain
768,Rafael,Leao,"Leao, Rafael",10-Jun-99,10,June,1999,23,FW,Portugal,11,0,Milan,Italy Premeir League,Italy
769,Vitinha,,Vitinha,13-Feb-00,13,February,2000,22,MF,Portugal,5,0,Paris Saint-Germain,French Ligue 1,France
770,Joao Mario,,Joao Mario,19-Jan-93,19,January,1993,29,MF,Portugal,53,3,Benfica,Portuguese Liga ZON SAGRES,Portugal
771,Ruben,Neves,"Neves, Ruben",13-Mar-97,13,March,1997,25,MF,Portugal,32,0,Wolverhampton Wanderers,English Premier League,England
772,Nuno,Mendes,"Mendes, Nuno",19-Jun-02,19,June,2002,20,DF,Portugal,17,0,Paris Saint-Germain,French Ligue 1,France
773,Joao,Cancelo,"Cancelo, Joao",27-May-94,27,May,1994,28,DF,Portugal,37,7,Manchester City,English Premier League,England
774,Ricardo,Horta,"Horta, Ricardo",15-Sep-94,15,September,1994,28,FW,Portugal,6,1,Braga,Portuguese Liga ZON SAGRES,Portugal
775,Diogo,Costa,"Costa, Diogo",19-Sep-99,19,September,1999,23,GK,Portugal,7,0,Porto,Portuguese Liga ZON SAGRES,Portugal
776,Matheus,Nunes,"Nunes, Matheus",27-Aug-98,27,August,1998,24,MF,Portugal,9,1,Wolverhampton Wanderers,English Premier League,England
777,Antonio,Silva,"Silva, Antonio",30-Oct-03,30,October,2003,19,DF,Portugal,1,0,Benfica,Portuguese Liga ZON SAGRES,Portugal
778,Otavio,,Otavio,9-Feb-95,9,February,1995,27,MF,Portugal,8,2,Porto,Portuguese Liga ZON SAGRES,Portugal
779,Goncalo,Ramos,"Ramos, Goncalo",20-Jun-01,20,June,2001,21,FW,Portugal,1,1,Benfica,Portuguese Liga ZON SAGRES,Portugal
780,Seung-gyu,Kim,"Kim, Seung-gyu",30-Sep-90,30,September,1990,32,GK,South Korea,67,0,Al-Shabab,Saudi Arabia Premeir League,Saudi Arabia
781,Jong-gyu,Yoon,"Yoon, Jong-gyu",20-Mar-98,20,March,1998,24,DF,South Korea,4,0,FC Seoul,Korean K League 1,South Korea
782,Jin-su,Kim,"Kim, Jin-su",13-Jun-92,13,June,1992,30,DF,South Korea,61,2,Jeonbuk Hyundai Motors,Korean K League 1,South Korea
783,Min-jae,Kim,"Kim, Min-jae",15-Nov-96,15,November,1996,26,DF,South Korea,44,3,Napoli,Italian Serie A,Italy
784,Woo-young,Jung,"Jung, Woo-young",14-Dec-89,14,December,1989,32,MF,South Korea,66,3,Al-Sadd,Qatar Premeir League,Qatar
785,In-beom,Hwang,"Hwang, In-beom",20-Sep-96,20,September,1996,26,MF,South Korea,37,4,Olympiacos,Greece Premeir League,Greece
786,Heung-min,Son,"Son, Heung-min",8-Jul-92,8,July,1992,30,MF,South Korea,104,35,Tottenham Hotspur,English Premier League,England
787,Seung-ho,Paik,"Paik, Seung-ho",17-Mar-97,17,March,1997,25,MF,South Korea,14,2,Jeonbuk Hyundai Motors,Korean K League 1,South Korea
788,Gue-sung,Cho,"Cho, Gue-sung",25-Jan-98,25,January,1998,24,FW,South Korea,16,4,Jeonbuk Hyundai Motors,Korean K League 1,South Korea
789,Jae-sung,Lee,"Lee, Jae-sung",10-Aug-92,10,August,1992,30,MF,South Korea,64,9,Mainz 05,Germany Premeir League,Germany
790,Hee-chan,Hwang,"Hwang, Hee-chan",26-Jan-96,26,January,1996,26,MF,South Korea,49,9,Wolverhampton Wanderers,English Premier League,England
791,Bum-keun,Song,"Song, Bum-keun",15-Oct-97,15,October,1997,25,GK,South Korea,1,0,Jeonbuk Hyundai Motors,Korean K League 1,South Korea
792,Jun-ho,Son,"Son, Jun-ho",12-May-92,12,May,1992,30,MF,South Korea,15,0,Shandong Taishan,Chinese Super League,China
793,Chul,Hong,"Hong, Chul",17-Sep-90,17,September,1990,32,DF,South Korea,46,1,Daegu FC,Korean K League 1,South Korea
794,Moon-hwan,Kim,"Kim, Moon-hwan",1-Aug-95,1,August,1995,27,DF,South Korea,22,0,Jeonbuk Hyundai Motors,Korean K League 1,South Korea
795,Ui-jo,Hwang,"Hwang, Ui-jo",28-Aug-92,28,August,1992,30,FW,South Korea,49,16,Olympiacos,Greece Premeir League,Greece
796,Sang-ho,Na,"Na, Sang-ho",12-Aug-96,12,August,1996,26,MF,South Korea,24,2,FC Seoul,Korean K League 1,South Korea
797,Kang-in,Lee,"Lee, Kang-in",19-Feb-01,19,February,2001,21,MF,South Korea,6,0,Mallorca,Spain Premeir League,Spain
798,Young-gwon,Kim,"Kim, Young-gwon",27-Feb-90,27,February,1990,32,DF,South Korea,96,6,Ulsan Hyundai,South Korea Premeir League,South Korea
799,Kyung-won,Kwon,"Kwon, Kyung-won",31-Jan-92,31,January,1992,30,DF,South Korea,28,2,Gamba Osaka,Japanese J. League Division 1,Japan
800,Hyeon-woo,Jo,"Jo, Hyeon-woo",25-Sep-91,25,September,1991,31,GK,South Korea,22,0,Ulsan Hyundai,South Korea Premeir League,South Korea
801,Chang-hoon,Kwon,"Kwon, Chang-hoon",30-Jun-94,30,June,1994,28,MF,South Korea,42,12,Gimcheon Sangmu,South Korea Premeir League,South Korea
802,Tae-hwan,Kim,"Kim, Tae-hwan",24-Jul-89,24,July,1989,33,DF,South Korea,19,0,Ulsan Hyundai,South Korea Premeir League,South Korea
803,Yu-min,Cho,"Cho, Yu-min",17-Nov-96,17,November,1996,26,DF,South Korea,4,0,Daejeon Hana Citizen,South Korea Premeir League,South Korea
804,Woo-yeong,Jeong,"Jeong, Woo-yeong",20-Sep-99,20,September,1999,23,MF,South Korea,9,2,SC Freiburg,Germany Premeir League,Germany
805,Min-kyu,Song,"Song, Min-kyu",12-Sep-99,12,September,1999,23,MF,South Korea,13,1,Jeonbuk Hyundai Motors,Korean K League 1,South Korea
806,Fernando,Muslera,"Muslera, Fernando",16-Jun-86,16,June,1986,36,GK,Uruguay,133,0,Galatasaray,Turkey Premeir League,Turkey
807,Jose,Gimenez,"Gimenez, Jose",20-Jan-95,20,January,1995,27,DF,Uruguay,78,8,Atlético Madrid,Spain Primera Division,Spain
808,Diego,Godin,"Godin, Diego",16-Feb-86,16,February,1986,36,DF,Uruguay,159,8,Vélez Sarsfield,Argentina Primera División,Argentina
809,Ronald,Araujo,"Araujo, Ronald",7-Mar-99,7,March,1999,23,DF,Uruguay,12,0,Barcelona,Spain Primera Division,Spain
810,Matias,Vecino,"Vecino, Matias",24-Aug-91,24,August,1991,31,MF,Uruguay,62,4,Lazio,Italian Serie A,Italy
811,Rodrigo,Bentancur,"Bentancur, Rodrigo",25-Jun-97,25,June,1997,25,MF,Uruguay,51,1,Tottenham Hotspur,English Premier League,England
812,Nicolas de la,Cruz,"Cruz, Nicolas de la",1-Jun-97,1,June,1997,25,MF,Uruguay,17,2,River Plate,Argentina Primera División,Argentina
813,Facundo,Pellistri,"Pellistri, Facundo",20-Dec-01,20,December,2001,20,FW,Uruguay,7,0,Manchester United,English Premier League,England
814,Luis,Suarez,"Suarez, Luis",24-Jan-87,24,January,1987,35,FW,Uruguay,134,68,Nacional,Uruguay Premeir League,Uruguay
815,Giorgian de,Arrascaeta,"Arrascaeta, Giorgian de",1-Jun-94,1,June,1994,28,MF,Uruguay,40,8,Flamengo,Campeonato Brasileiro Série A,Brazil
816,Darwin,Nunez,"Nunez, Darwin",24-Jun-99,24,June,1999,23,FW,Uruguay,13,3,Liverpool,English Premier League,England
817,Sebastian,Sosa,"Sosa, Sebastian",19-Aug-86,19,August,1986,36,GK,Uruguay,1,0,Independiente,Argentina Premeir League,Argentina
818,Guillermo,Varela,"Varela, Guillermo",24-Mar-93,24,March,1993,29,DF,Uruguay,9,0,Flamengo,Campeonato Brasileiro Série A,Brazil
819,Lucas,Torreira,"Torreira, Lucas",11-Feb-96,11,February,1996,26,MF,Uruguay,40,0,Galatasaray,Turkey Premeir League,Turkey
820,Federico,Valverde,"Valverde, Federico",22-Jul-98,22,July,1998,24,MF,Uruguay,44,4,Real Madrid,Spain Primera Division,Spain
821,Mathias,Olivera,"Olivera, Mathias",31-Oct-97,31,October,1997,25,DF,Uruguay,8,0,Napoli,Italian Serie A,Italy
822,Matias,Vina,"Vina, Matias",9-Nov-97,9,November,1997,25,DF,Uruguay,26,0,Roma,Italian Serie A,Italy
823,Maxi,Gomez,"Gomez, Maxi",14-Aug-96,14,August,1996,26,FW,Uruguay,27,4,Trabzonspor,Turkish Süper Lig,Turkey
824,Sebastian,Coates,"Coates, Sebastian",7-Oct-90,7,October,1990,32,DF,Uruguay,47,1,Sporting CP,Portuguese Liga ZON SAGRES,Portugal
825,Facundo,Torres,"Torres, Facundo",13-Apr-00,13,April,2000,22,FW,Uruguay,10,0,Orlando City SC,United States Premeir League,United States
826,Edinson,Cavani,"Cavani, Edinson",14-Feb-87,14,February,1987,35,FW,Uruguay,133,58,Valencia,Spain Premeir League,Spain
827,Martin,Caceres,"Caceres, Martin",7-Apr-87,7,April,1987,35,DF,Uruguay,115,4,LA Galaxy,USA Major League Soccer,United States
828,Sergio,Rochet,"Rochet, Sergio",23-Mar-93,23,March,1993,29,GK,Uruguay,8,0,Nacional,Uruguay Premeir League,Uruguay
829,Agustin,Canobbio,"Canobbio, Agustin",1-Oct-98,1,October,1998,24,MF,Uruguay,3,0,Athletico Paranaense,Brazil Premeir League,Brazil
830,Manuel,Ugarte,"Ugarte, Manuel",11-Apr-01,11,April,2001,21,MF,Uruguay,6,0,Sporting CP,Portuguese Liga ZON SAGRES,Portugal
831,Jose Luis,Rodriguez,"Rodriguez, Jose Luis",14-Mar-97,14,March,1997,25,DF,Uruguay,0,0,Nacional,Uruguay Premeir League,Uruguay
